شناسه,لینک_مستقیم,عنوان,روستا,روستا_مطمئن,دسته_پرونده,نوع_مبهم,نوع_کلبه_از_API,متراژ_بنا_م2,متراژ_زمین_م2,تعداد_اتاق_خواب,ظرفیت_پایه,ظرفیت_حداکثر,امتیاز_کلی,تعداد_نظرات_API,امتیاز_دقت,امتیاز_ارتباط,امتیاز_پاکیزگی,امتیاز_موقعیت,امتیاز_تحویل,امتیاز_ارزش,تاریخ_اولین_نظر,تاریخ_آخرین_نظر,نشان_ها,میزبان_نام,میزبان_عضویت_از,میزبان_نرخ_پذیرش_درصد,میزبان_زمان_پاسخ_دقیقه,حداقل_شب,حداکثر_شب,شرایط_لغو,ملک_دربست_یا_مشترک,هزینه_نفر_اضافه_تومان,جکوزی,محل_جکوزی,استخر,گرمایش_استخر,چشم_انداز_جنگل,چشم_انداز_رودخانه,حیاط_اختصاصی_محصور,حریم_خصوصی,حضور_میزبان_یا_واحد_دیگر,پارکینگ,کیفیت_مسیر,اینترنت_وای_فای,سرمایش,گرمایش,حیوان_خانگی,موقعیت_توضیح,طول_جغرافیایی,عرض_جغرافیایی,وضعیت_API,منابع_شناسایی
3180163,/room/3180163,اجاره خانه مبله در تهران - نواب,,نامطمئن,other,,آپارتمان، سوئیت,50,400,1,2,2,4.7,67,4.6,4.9,4.8,4.7,4.9,4.4,2023-01-01,2026-05-16,اقامتگاه پلاس؛ رزرو فوری,مبینا,2021-11-27,89,228,2,,سخت,دربست,0,,,,,,,,,,,,,کولر آبی کانال کشی شده برای اتاق و پذیرایی,یک بخاری گازی در پذیرایی.,پذیرش (قانون صریح),,51.3779,35.6859,active,db
3180469,/room/3180469,ویلا استخردار چهار خوابه در رودهن - آنتیک,,نامطمئن,other,,ویلا,450,650,4,8,25,4.2,11,4.5,4.3,3.5,4.3,4.9,4,2023-01-23,2026-08-10,رزرو فوری,مبینا,2021-11-27,89,225,1,,سخت,دربست,950000,,,دارد,,,,ذکر شده,مستر می باشد در شهرکی با فاصله حدود ۵ کیلومتری از رودهن واقع شد,,ذکر شده,,,کولر پرتابل,پکیج - شوفاژ,,,51.9131,35.7504,inactive,db
3192911,/room/3192911,ویلا دوبلکس ییلاقی در فشم - امامه بالا,,نامطمئن,other,,ویلا,150,350,2,6,6,4.6,14,4.5,4.9,4.4,4.6,4.8,4.3,2023-08-10,2025-05-03,,مبینا,2021-11-27,89,226,1,,سخت,دربست,650000,,,دارد,,,,ذکر شده,دنج در روستای امامه بالا در منطقه فشم با فاصله حدود 55 کیلومتری,,ذکر شده,,,,پکیج و شوفاژ,پذیرش (قانون صریح),,51.5857,35.9054,active,db
3210101,/room/3210101,ویلا تریپلکس استخردار در رودهن - ۴ خوابه,,نامطمئن,other,,ویلا,550,3000,4,8,30,4.7,15,4.8,4.6,4.6,4.8,4.8,4.5,2024-03-29,2026-08-20,اقامتگاه پلاس؛ رزرو فوری,مبینا,2021-11-27,89,226,1,,سخت,مشترک (فضای مشترک با میزبان یا مهمان دیگر),950000,دارد,6 نفره,دارد,استخر سرپوشیده آبگرم، جکوزی، میز و صندلی باغی در حیاطی دنج و,,,ذکر شده,مستر می باشد با استخر سرپوشیده آبگرم، جکوزی، میز و صندلی باغی د,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,یک دستگاه کولر اسپلیت 18000 در پذیرایی طبقه پایین سالن گیم,پکیج - رادیاتور و گرمایش از کف,پذیرش (قانون صریح),,51.9502,35.6921,active,db
3214646,/room/3214646,ویلا استخردار در رودهن - مهرآباد,,نامطمئن,other,,ویلا,280,800,2,8,20,4.2,18,4.3,4.5,4.3,3.9,4.4,3.9,2024-02-25,2026-07-02,,مبینا,2021-11-27,89,226,1,,سخت,دربست,750000,,,دارد,,,,ذکر شده,,,ذکر شده,,,یک دستگاه اسپیلت ۳۲۰۰۰ در محوطه استخر و در پذیرایی بالا,پکیج - شوفاژ,پذیرش (قانون صریح),,51.9261,35.6762,active,db
3216104,/room/3216104,ویلا استخردار در شهرک طاووسیه,,نامطمئن,other,,ویلا,150,350,4,8,12,4.3,6,4.3,4.5,4,4.7,4.5,3.8,2025-03-21,2026-08-31,,مبینا,2021-11-27,89,228,1,,سخت,مشترک (فضای مشترک با میزبان یا مهمان دیگر),650000,دارد,۴ نفره,دارد,استخر سرپوشیده آبگرم، جکوزی، میز فوتبال دستی، میز بیلیارد، ح,,,ذکر شده,مستر است با استخر سرپوشیده آبگرم، جکوزی، میز فوتبال دستی، میز ب,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,یک دستگاه اسپلیت ۳۴۰۰۰ در پذیرایی,پکیج و رادیاتور,پذیرش (قانون صریح),,50.8251,35.9095,active,db
3226312,/room/3226312,اجاره ویلا در بابل - پوست کلا,,نامطمئن,other,,ویلا,120,600,2,4,15,4.8,7,4.9,5,4.6,4.6,5,4.6,,,,سمیه,2024-05-20,70,249,1,,متوسط,دربست,200000,,,,,,,ذکر شده,,,ذکر شده,,,یک دستگاه کولر پنجره ای 18000 در پذیرایی,یک شعله شومینه گازی در پذیرایی و یک شعله بخاری گازی در یک اتاق خواب,پذیرش (قانون صریح),,52.651,36.3324,active,db
