id,village,village_slug,title,url,status,min_price,occupancy_30,occupancy_30_unavailable,occupancy_30_total,pool,jacuzzi,own,features,properties,geo_lat,geo_lng,discounts
3263831,گونه کلا,gonehkola,اجاره کلبه سوئیسی در بابلکنار - گونه کلا,https://www.jajiga.com/room/3263831,active,2590000,0,0,30,0,0,False,barbecue|bathroom|cooler|electricity|essentials|fireextingu|firstaidkit|furniture|heating|islamictoilet|kitchen|parking|refrigerator|stave|table|toilet|tv|vacuumcleaner|water,,36.3348,52.7856,"[{""percent"": 10, ""type"": ""duration"", ""min_nights"": 6}, {""percent"": 10, ""type"": ""duration"", ""min_nights"": 10}]"
3263833,گونه کلا,gonehkola,کلبه سوئیسی جکوزی دار در بابلکنار - گونه کلا,https://www.jajiga.com/room/3263833,active,2890000,0,0,30,0,1,False,barbecue|bathroom|cooler|electricity|essentials|fireextingu|firstaidkit|furniture|heating|islamictoilet|jacuzzi|kitchen|parking|refrigerator|stave|table|toilet|tv|vacuumcleaner|water,,36.3346,52.7846,"[{""percent"": 10, ""type"": ""duration"", ""min_nights"": 5}, {""percent"": 20, ""type"": ""duration"", ""min_nights"": 10}]"
3161999,گونه کلا,gonehkola,رزرو کلبه چوبی دوبلکس در بابلکنار - گونه کلا,https://www.jajiga.com/room/3161999,active,2950000,7,2,30,0,1,False,barbecue|bathroom|drawer|electricity|essentials|fireextingu|firstaidkit|foosball|furniture|heating|islamictoilet|jacuzzi|kitchen|parking|refrigerator|stave|table|toilet|tv|vacuumcleaner|water,,36.3348,52.7856,"[{""percent"": 5, ""type"": ""duration"", ""min_nights"": 5}, {""percent"": 20, ""type"": ""duration"", ""min_nights"": 10}]"
3285480,گونه کلا,gonehkola,کلبه جکوزی دار در بابلکنار - گونه کلا,https://www.jajiga.com/room/3285480,active,2990000,0,0,30,0,1,False,bathroom|cooler|electricity|essentials|firstaidkit|furniture|heating|islamictoilet|jacuzzi|kitchen|parking|refrigerator|stave|toilet|vacuumcleaner|water,خوش منظره,36.3301,52.7867,"[{""percent"": 10, ""type"": ""duration"", ""min_nights"": 5}, {""percent"": 10, ""type"": ""duration"", ""min_nights"": 10}]"
3198940,گونه کلا,gonehkola,اجاره کلبه چوبی جکوزی دار در بابلکنار - گونه کلا,https://www.jajiga.com/room/3198940,active,2995000,7,2,30,0,1,False,barbecue|bathroom|cooler|drawer|electricity|essentials|firstaidkit|foosball|furniture|heating|islamictoilet|jacuzzi|kitchen|parking|refrigerator|stave|table|toilet|tv|washer|water,جذاب|خوش منظره,36.3347,52.7856,"[{""percent"": 5, ""type"": ""duration"", ""min_nights"": 5}, {""percent"": 10, ""type"": ""duration"", ""min_nights"": 10}]"
3224334,گونه کلا,gonehkola,اجاره کلبه سوئیسی در بابلکنار - گونه کلا,https://www.jajiga.com/room/3224334,active,3000000,10,3,30,0,0,False,barbecue|bathroom|cooler|electricity|essentials|furniture|heating|iron|islamictoilet|kitchen|parking|refrigerator|stave|table|toilet|tv|vacuumcleaner|water,,36.3328,52.7896,[]
3199786,گونه کلا,gonehkola,کلبه در بابلکنار - گونه کلا,https://www.jajiga.com/room/3199786,active,3000000,3,1,30,0,1,False,barbecue|bathroom|cooler|electricity|essentials|fireextingu|firstaidkit|furniture|heating|islamictoilet|jacuzzi|janitor|kitchen|parking|refrigerator|safetycard|stave|table|vacuumcleaner|water,,36.3315,52.7862,"[{""percent"": 5, ""type"": ""duration"", ""min_nights"": 3}, {""percent"": 10, ""type"": ""duration"", ""min_nights"": 10}]"
3307485,گونه کلا,gonehkola,خانه ویلایی در بابلکنار - گونه کلا,https://www.jajiga.com/room/3307485,active,3000000,3,1,30,0,0,False,barbecue|bathroom|cooler|drawer|electricity|essentials|furniture|heating|islamictoilet|kitchen|refrigerator|stave|table|toilet|tv|water,,36.3353,52.7785,"[{""percent"": 10, ""type"": ""duration"", ""min_nights"": 10}]"
3252868,گونه کلا,gonehkola,کلبه چوبی جکوزی دار در بابلکنار - گونه کلا,https://www.jajiga.com/room/3252868,active,3200000,0,0,30,0,1,False,barbecue|bathroom|cooler|electricity|essentials|firstaidkit|furniture|heating|islamictoilet|jacuzzi|kitchen|parking|refrigerator|stave|table|toilet|tv|vacuumcleaner|water,حیاط دار|مهمان نواز,36.3298,52.7811,"[{""percent"": 10, ""type"": ""duration"", ""min_nights"": 10}]"
3284804,گونه کلا,gonehkola,کلبه سوئیسی با جکوزی در بابلکنار - گونه کلا,https://www.jajiga.com/room/3284804,active,3250000,0,0,30,0,1,False,bathroom|cooler|electricity|essentials|firstaidkit|furniture|hairdryer|heating|islamictoilet|jacuzzi|kitchen|parking|refrigerator|stave|table|toilet|tv|vacuumcleaner|water,,36.3347,52.7849,"[{""percent"": 10, ""type"": ""duration"", ""min_nights"": 5}, {""percent"": 10, ""type"": ""duration"", ""min_nights"": 10}, {""percent"": 10, ""type"": ""first_book""}, {""percent"": 20, ""type"": ""today_discount""}, {""percent"": 10, ""type"": ""tomorrow_discount""}]"
3259364,گونه کلا,gonehkola,کلبه سوئیسی در بابلکنار - گونه کلا,https://www.jajiga.com/room/3259364,active,3500000,33,10,30,0,0,False,barbecue|bathroom|cooler|electricity|essentials|furniture|heating|islamictoilet|janitor|kitchen|parking|refrigerator|stave|table|toilet|tv|vacuumcleaner|water,خوش منظره,36.3375,52.7909,"[{""percent"": 10, ""type"": ""duration"", ""min_nights"": 3}, {""percent"": 20, ""type"": ""duration"", ""min_nights"": 7}, {""percent"": 10, ""type"": ""tomorrow_discount""}]"
3297115,گونه کلا,gonehkola,خانه ویلایی در بابلکنار - گونه کلا,https://www.jajiga.com/room/3297115,active,3500000,0,0,30,0,0,False,barbecue|bathroom|drawer|electricity|essentials|firstaidkit|furniture|heating|islamictoilet|janitor|kitchen|parking|refrigerator|stave|table|toilet|tv|water,,36.3278,52.7826,[]
3186964,گونه کلا,gonehkola,کلبه سوئیسی با جکوزی در بابلکنار - گونه کلا,https://www.jajiga.com/room/3186964,active,4500000,13,4,30,0,1,False,barbecue|bathroom|cooler|drawer|electricity|essentials|furniture|hairdryer|heating|islamictoilet|jacuzzi|janitor|kitchen|parking|refrigerator|stave|table|toilet|tv|vacuumcleaner|water,جذاب|خوش منظره|مهمان نواز,36.3227,52.7815,"[{""percent"": 5, ""type"": ""duration"", ""min_nights"": 3}, {""percent"": 10, ""type"": ""duration"", ""min_nights"": 7}]"
3240990,گونه کلا,gonehkola,کلبه سوئیسی استخردار در بابلکنار - گونه کلا,https://www.jajiga.com/room/3240990,active,5900000,30,9,30,1,0,False,barbecue|bathroom|cooler|drawer|electricity|essentials|furniture|heating|islamictoilet|kitchen|parking|pool|refrigerator|stave|table|tv|vacuumcleaner|water,استخر آب گرم|استخر روباز,36.3306,52.7892,"[{""percent"": 10, ""type"": ""duration"", ""min_nights"": 3}, {""percent"": 20, ""type"": ""duration"", ""min_nights"": 7}]"
3228478,گونه کلا,gonehkola,کلبه سوئیسی استخردار در بابلکنار - گونه کلا,https://www.jajiga.com/room/3228478,active,8000000,30,9,30,1,0,False,barbecue|bathroom|cooler|drawer|electricity|essentials|fireextingu|firstaidkit|foosball|furniture|heating|islamictoilet|kitchen|parking|pool|refrigerator|stave|table|toilet|tv|vacuumcleaner|water,خوش منظره|مهمان نواز|استخر آب گرم|استخر سرپوشیده,36.3357,52.7773,[]
3240255,گونه کلا,gonehkola,کلبه سوئیسی استخردار در بابلکنار - گونه کلا,https://www.jajiga.com/room/3240255,active,9000000,20,6,30,1,0,False,barbecue|bathroom|cooler|drawer|electricity|essentials|fireextingu|firstaidkit|foosball|furniture|heating|islamictoilet|janitor|kitchen|parking|pool|refrigerator|stave|table|toilet|tv|vacuumcleaner|washer|water,مهمان نواز|استخر آب گرم|استخر سرپوشیده,36.3353,52.789,[]
3292527,گونه کلا,gonehkola,کلبه جنگلی استخردار در گونه کلا - ۳ خوابه,https://www.jajiga.com/room/3292527,active,12000000,50,15,30,1,0,False,barbecue|bathroom|cooler|electricity|essentials|foosball|furniture|hairdryer|heating|islamictoilet|janitor|kitchen|parking|pool|refrigerator|stave|table|toilet|tv|vacuumcleaner|water,مهمان نواز|استخر آب گرم|استخر سرپوشیده,36.3384,52.7899,"[{""percent"": 10, ""type"": ""duration"", ""min_nights"": 20}]"
